Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
toughook-coat-rack,,,,,,,,,3,,Charcoal,,,TOUGH-3-CHARCOAL,500,,10,deny,manual,40.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Slate Gray,,,TOUGH-3-SLATEGRAY,500,,10,deny,manual,41.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,Black,,,TOUGH-3-BLACK,500,,10,deny,manual,42.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,3,,White,,,TOUGH-3-WHITE,500,,10,deny,manual,43.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,15,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Candy Red,,,TOUGH-6-CANDYRED,800,,10,deny,manual,49.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Crimson,,,TOUGH-6-CRIMSON,800,,10,deny,manual,48.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Coral,,,TOUGH-6-CORAL,800,,10,deny,manual,47.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Orange,,,TOUGH-6-ORANGE,800,,10,deny,manual,46.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Sunny Yellow,,,TOUGH-6-YELLOW,800,,10,deny,manual,45.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Mustard,,,TOUGH-6-MUSTARD,800,,10,deny,manual,44.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Lime Green,,,TOUGH-6-LIMEGREEN,800,,10,deny,manual,51.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Forest Green,,,TOUGH-6-FORESTGREEN,800,,10,deny,manual,50.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Emerald,,,TOUGH-6-EMERALD,800,,10,deny,manual,52.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Teal,,,TOUGH-6-TEAL,800,,10,deny,manual,53.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Sky Blue,,,TOUGH-6-SKYBLUE,800,,10,deny,manual,54.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Navy Blue,,,TOUGH-6-NAVYBLUE,800,,10,deny,manual,55.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Royal Blue,,,TOUGH-6-ROYALBLUE,800,,10,deny,manual,56.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Purple,,,TOUGH-6-PURPLE,800,,10,deny,manual,57.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Lavender,,,TOUGH-6-LAVENDER,800,,10,deny,manual,58.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Pink,,,TOUGH-6-PINK,800,,10,deny,manual,59.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Charcoal,,,TOUGH-6-CHARCOAL,800,,10,deny,manual,60.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Slate Gray,,,TOUGH-6-SLATEGRAY,800,,10,deny,manual,61.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,Black,,,TOUGH-6-BLACK,800,,10,deny,manual,62.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,6,,White,,,TOUGH-6-WHITE,800,,10,deny,manual,63.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,25,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Candy Red,,,TOUGH-9-CANDYRED,1200,,10,deny,manual,69.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Crimson,,,TOUGH-9-CRIMSON,1200,,10,deny,manual,68.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Coral,,,TOUGH-9-CORAL,1200,,10,deny,manual,67.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Orange,,,TOUGH-9-ORANGE,1200,,10,deny,manual,66.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Sunny Yellow,,,TOUGH-9-YELLOW,1200,,10,deny,manual,65.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Mustard,,,TOUGH-9-MUSTARD,1200,,10,deny,manual,64.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Lime Green,,,TOUGH-9-LIMEGREEN,1200,,10,deny,manual,71.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Forest Green,,,TOUGH-9-FORESTGREEN,1200,,10,deny,manual,70.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Emerald,,,TOUGH-9-EMERALD,1200,,10,deny,manual,72.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Teal,,,TOUGH-9-TEAL,1200,,10,deny,manual,73.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Sky Blue,,,TOUGH-9-SKYBLUE,1200,,10,deny,manual,74.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Navy Blue,,,TOUGH-9-NAVYBLUE,1200,,10,deny,manual,75.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Royal Blue,,,TOUGH-9-ROYALBLUE,1200,,10,deny,manual,76.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Purple,,,TOUGH-9-PURPLE,1200,,10,deny,manual,77.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Lavender,,,TOUGH-9-LAVENDER,1200,,10,deny,manual,78.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Pink,,,TOUGH-9-PINK,1200,,10,deny,manual,79.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Charcoal,,,TOUGH-9-CHARCOAL,1200,,10,deny,manual,80.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Slate Gray,,,TOUGH-9-SLATEGRAY,1200,,10,deny,manual,81.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,Black,,,TOUGH-9-BLACK,1200,,10,deny,manual,82.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
toughook-coat-rack,,,,,,,,,9,,White,,,TOUGH-9-WHITE,1200,,10,deny,manual,83.99,,TRUE,TRUE,,,,,,,,,,,,,,,g,,35,,,,,,,
